Scenario,Wall-U,Roof-U,Window-U,LPD,Heating Setpoint,Energy,Change (%)
S137,0.9,0.7,0.8,1.5,22,7282142.010000002,5.508255662961808
S150,0.9,0.7,1.0,2.0,23,7282427.334,5.504553350864073
S5,0.3,0.3,0.8,2.0,22,7284827.863,5.473404525116077
S97,0.6,0.7,1.0,2.5,21,7297944.694,5.303202922392298
S147,0.9,0.7,1.0,1.5,23,7300240.405,5.273414195862954
S103,0.6,0.7,1.2,2.0,21,7304759.048999998,5.214781096836386
S11,0.3,0.3,1.0,1.5,22,7311921.84,5.121838029400678
S2,0.3,0.3,0.8,1.5,22,7314303.13,5.090938845401883
S20,0.3,0.3,1.2,1.5,22,7314818.506000001,5.084251420580631
S88,0.6,0.7,0.8,2.5,21,7328522.164,4.906435257913117
S94,0.6,0.7,1.0,2.0,21,7335903.115999999,4.81066137319758
S144,0.9,0.7,0.8,2.5,23,7337556.515000001,4.789207169835343
S100,0.6,0.7,1.2,1.5,21,7341282.887000002,4.740854447539444
S141,0.9,0.7,0.8,2.0,23,7354628.893999999,4.5676790989081875
S91,0.6,0.7,1.0,1.5,21,7369669.651000001,4.372512983893132
S138,0.9,0.7,0.8,1.5,23,7374620.370000001,4.3082733586029125
S107,0.6,0.7,1.2,2.5,22,7375308.194,4.299348280038454
S85,0.6,0.7,0.8,2.0,21,7377452.0940000005,4.2715294253105425
S27,0.3,0.3,1.2,2.5,23,7397670.53,4.009178693508933
S104,0.6,0.7,1.2,2.0,22,7397920.267499999,4.005938145333841
S82,0.6,0.7,0.8,1.5,21,7408955.1,3.8627521747828375
S18,0.3,0.3,1.0,2.5,23,7412232.288999999,3.8202279690330943
S101,0.6,0.7,1.2,1.5,22,7419345.556799999,3.7279275055931436
S24,0.3,0.3,1.2,2.0,23,7428640.670000001,3.6073158148471727
S108,0.6,0.7,1.2,2.5,23,7431038.979999999,3.5761957824378148
S98,0.6,0.7,1.0,2.5,22,7434289.498000001,3.5340176547114743
S9,0.3,0.3,0.8,2.5,23,7437907.2357,3.487074551245848
S15,0.3,0.3,1.0,2.0,23,7442834.4799999995,3.4231395293742164
S105,0.6,0.7,1.2,2.0,23,7453232.763999999,3.2882132958672945
S95,0.6,0.7,1.0,2.0,22,7460212.086,3.1976508886573844
S21,0.3,0.3,1.2,1.5,23,7460598.296,3.1926394982546307
S89,0.6,0.7,0.8,2.5,22,7467755.286000001,3.0997717035351413
S6,0.3,0.3,0.8,2.0,23,7470178.2799,3.0683313773489007
S102,0.6,0.7,1.2,1.5,23,7477664.890000002,2.971186492430558
S12,0.3,0.3,1.0,1.5,23,7480515.184,2.934201598210788
S34,0.3,0.7,0.8,2.5,21,7480542.172,2.9338514068532646
S92,0.6,0.7,1.0,1.5,22,7488550.154999999,2.8299412824349055
S43,0.3,0.7,1.0,2.5,21,7497036.348,2.7198259924213772
S86,0.6,0.7,0.8,2.0,22,7507050.69,2.589881720163539
S3,0.3,0.3,0.8,1.5,23,7507286.029640001,2.5868279959894167
S99,0.6,0.7,1.0,2.5,23,7510142.967,2.5497568987439574
S52,0.3,0.7,1.2,2.5,21,7511687.768,2.529711843189816
S31,0.3,0.7,0.8,2.0,21,7531041.888999999,2.278576304925306
S96,0.6,0.7,1.0,2.0,23,7534769.960000001,2.2302015367157875
S40,0.3,0.7,1.0,2.0,21,7546043.7760000015,2.083914559929013
S83,0.6,0.7,0.8,1.5,22,7548315.832999999,2.0544327633823243
S93,0.6,0.7,1.0,1.5,23,7561078.688000001,1.8888242885661475
S49,0.3,0.7,1.2,2.0,21,7564656.98,1.8423930252973313
S28,0.3,0.7,0.8,1.5,21,7579450.687000001,1.6504325859483753
S53,0.3,0.7,1.2,2.5,22,7580594.702999999,1.6355880433342869
S90,0.6,0.7,0.8,2.5,23,7584633.259999999,1.5831844655119205
S44,0.3,0.7,1.0,2.5,22,7598527.02,1.4029015740223827
S37,0.3,0.7,1.0,1.5,21,7600255.407000001,1.3804743400718107
S87,0.6,0.7,0.8,2.0,23,7610501.109999999,1.2475279697456554
S46,0.3,0.7,1.2,1.5,21,7612207.520000001,1.225385905332062
S50,0.3,0.7,1.2,2.0,22,7621527.863000001,1.1044468373105845
S35,0.3,0.7,0.8,2.5,22,7623412.200999999,1.079996011674951
S84,0.6,0.7,0.8,1.5,23,7631990.024,0.968691747521437
S41,0.3,0.7,1.0,2.0,22,7642922.7,0.826831341051326
S54,0.3,0.7,1.2,2.5,23,7662262.73,0.5758786450284874
S47,0.3,0.7,1.2,1.5,22,7666998.173000001,0.514432401785189
S32,0.3,0.7,0.8,2.0,22,7667014.574500002,0.514219578917594
S38,0.3,0.7,1.0,1.5,22,7693163.457000001,0.1749164567735654
S51,0.3,0.7,1.2,2.0,23,7697114.584999999,0.1236473416827028
Baseline,1.134,2.984,3.2,3.0,24,7706643.6450000005,0.0
S29,0.3,0.7,0.8,1.5,22,7711542.010199998,-0.0635602919459641
S45,0.3,0.7,1.0,2.5,23,7718636.799,-0.1556209752578895
S48,0.3,0.7,1.2,1.5,23,7735302.272000001,-0.3718691082673036
S42,0.3,0.7,1.0,2.0,23,7753955.352000002,-0.6139080665900094
S36,0.3,0.7,0.8,2.5,23,7769355.4010000015,-0.8137362889574866
S39,0.3,0.7,1.0,1.5,23,7788101.726000001,-1.05698517736511
S33,0.3,0.7,0.8,2.0,23,7803346.453000001,-1.254797969836585
S30,0.3,0.7,0.8,1.5,23,7838786.470000001,-1.7146611558422484
