,Kadın Sığınma Evi,Şefkat Sitesi,Zümrüt Sitesi,Çınar Sitesi,Apart B,İdari Bina A Blok,Apart A,Sevgi Sitesi,Fizik Tedavi,Papatya Sitesi,Dolunay Sitesi,Umut Sitesi,El Sanatları,İdari Bina B Blok,Güven Sitesi,Sinema Salonu,Spor Salonu,Poliklinik,Huzur Sitesi
Kadın Sığınma Evi,0.0,348.01199396852945,170.2111446471668,236.61620654748822,226.78459700016458,126.15050782912695,206.28386306963753,226.1314813965252,27.577162692952008,88.20506726428422,58.31822768639739,226.13740184114084,226.1623373528903,70.14389877750642,168.13014882017842,173.69135419066225,280.23153431692447,182.63759625918797,224.38295089396212
Şefkat Sitesi,348.01199396852945,0.0,163.00260959852662,347.73710795782813,295.06370887882156,292.98477021384565,303.1907053750764,101.91801462399283,312.94931761709717,243.02144622739172,260.34756650818343,380.9598098757004,103.37419954012023,294.41202961179715,184.0183015082762,153.17832353979094,185.69458026952523,340.73343324082066,83.54903169422934
Zümrüt Sitesi,170.2111446471668,163.00260959852662,0.0,286.88762921597475,242.80738843396654,181.9015290011226,236.3422506669453,97.84175375973777,149.38867775982322,98.66860726104345,85.28947861462677,302.93498906396366,60.41238768080035,152.29317404587002,115.64900375851018,33.50318618141276,208.59445219341717,252.9520014410021,31.01264826988718
Çınar Sitesi,236.61620654748822,347.73710795782813,286.88762921597475,0.0,39.45547901827908,98.8376054479935,37.64916589128941,204.32938288226137,193.39510666819993,174.71217075699985,223.97798910878925,13.777525862978976,261.5180267689369,148.90854383902348,133.01772330962822,238.62113610363988,143.76451111734798,25.58516816312291,291.86645714066844
Apart B,226.78459700016458,295.06370887882156,242.80738843396654,39.45547901827908,0.0,79.98077651129836,9.779811252679224,151.80409327022787,178.5252220714725,142.63374020720235,195.68576737857035,75.1108085573795,210.71691698140518,131.49302492364296,83.80755825667123,191.87474709806867,96.93628428674631,49.99893943795238,241.9385929686055
İdari Bina A Blok,126.15050782912695,292.98477021384565,181.9015290011226,98.8376054479935,79.98077651129836,0.0,60.037534466470944,146.0482874927523,78.17768285935269,58.43593792626023,104.73695896428008,103.55003683187857,181.74063224570415,31.409866402088774,64.37595211284932,143.43823981246572,151.49838585193007,53.02582285070059,204.34403028074004
Apart A,206.28386306963753,303.1907053750764,236.3422506669453,37.64916589128941,9.779811252679224,60.037534466470944,0.0,157.10972464242425,158.86175471444068,128.60732260939054,180.36578146318996,64.53093830073814,211.5409636130913,112.07580220599026,82.6235496460371,187.69611665594493,114.61875869609837,30.297281429070757,241.364337192815
Sevgi Sitesi,226.1314813965252,101.91801462399283,97.84175375973777,204.32938288226137,151.80409327022787,146.0482874927523,157.10972464242425,0.0,182.9202880174925,110.4814716050835,144.93663264080152,234.79466003849842,26.154573110649444,155.22969511230076,35.96536943826766,49.673743233815905,71.56203216593784,192.9074343653367,57.94294507791194
Fizik Tedavi,27.577162692952008,312.94931761709717,149.38867775982322,193.39510666819993,178.5252220714725,78.17768285935269,158.86175471444068,182.9202880174925,0.0,43.22221255498501,36.14652953086063,187.9256786319242,190.6935555531037,20.852831935427304,119.59220643713545,139.33454483352887,230.4288256101784,141.1477986617711,196.32066244514766
Papatya Sitesi,88.20506726428422,243.02144622739172,98.66860726104345,174.71217075699985,142.63374020720235,58.43593792626023,128.60732260939054,110.4814716050835,43.22221255498501,0.0,24.865894870612784,182.62329866928968,121.66703476932028,25.91440680278181,52.62747741329008,72.7839076788893,167.34426594355165,132.06981067582586,133.64449072907928
Dolunay Sitesi,58.31822768639739,260.34756650818343,85.28947861462677,223.97798910878925,195.68576737857035,104.73695896428008,180.36578146318996,144.93663264080152,36.14652953086063,24.865894870612784,0.0,227.10302777366186,138.9599858896339,54.77792006143578,102.47922797515096,86.49742406583185,217.6277233173896,177.25218297984372,136.82739531220986
Umut Sitesi,226.13740184114084,380.9598098757004,302.93498906396366,13.777525862978976,75.1108085573795,103.55003683187857,64.53093830073814,234.79466003849842,187.9256786319242,182.62329866928968,227.10302777366186,0.0,287.0921155310431,147.5274466105109,158.17103145845923,258.55065472717354,184.01201539160326,21.2582209198455,315.46721486898485
El Sanatları,226.1623373528903,103.37419954012023,60.41238768080035,261.5180267689369,210.71691698140518,181.74063224570415,211.5409636130913,26.154573110649444,190.6935555531037,121.66703476932028,138.9599858896339,287.0921155310431,0.0,174.66971195407834,82.75463177152383,31.163007527425414,143.94640553563264,241.0404764211905,14.03740063947292
İdari Bina B Blok,70.14389877750642,294.41202961179715,152.29317404587002,148.90854383902348,131.49302492364296,31.409866402088774,112.07580220599026,155.22969511230076,20.852831935427304,25.91440680278181,54.77792006143578,147.5274466105109,174.66971195407834,0.0,82.72990264626478,127.4085577775343,188.35346579280844,98.68202467470057,188.652732215137
Güven Sitesi,168.13014882017842,184.0183015082762,115.64900375851018,133.01772330962822,83.80755825667123,64.37595211284932,82.6235496460371,35.96536943826766,119.59220643713545,52.62747741329008,102.47922797515096,158.17103145845923,82.75463177152383,82.72990264626478,0.0,62.62763005426701,68.90985164757302,113.20864856661699,112.54687993600687
Sinema Salonu,173.69135419066225,153.17832353979094,33.50318618141276,238.62113610363988,191.87474709806867,143.43823981246572,187.69611665594493,49.673743233815905,139.33454483352887,72.7839076788893,86.49742406583185,258.55065472717354,31.163007527425414,127.4085577775343,62.62763005426701,0.0,154.6256634335846,209.84608881890338,40.48860924453126
Spor Salonu,280.23153431692447,185.69458026952523,208.59445219341717,143.76451111734798,96.93628428674631,151.49838585193007,114.61875869609837,71.56203216593784,230.4288256101784,167.34426594355165,217.6277233173896,184.01201539160326,143.94640553563264,188.35346579280844,68.90985164757302,154.6256634335846,0.0,158.19301144692002,175.82350730000326
Poliklinik,182.63759625918797,340.73343324082066,252.9520014410021,25.58516816312291,49.99893943795238,53.02582285070059,30.297281429070757,192.9074343653367,141.1477986617711,132.06981067582586,177.25218297984372,21.2582209198455,241.0404764211905,98.68202467470057,113.20864856661699,209.84608881890338,158.19301144692002,0.0,268.0715689500652
Huzur Sitesi,224.38295089396212,83.54903169422934,31.01264826988718,291.86645714066844,241.9385929686055,204.34403028074004,241.364337192815,57.94294507791194,196.32066244514766,133.64449072907928,136.82739531220986,315.46721486898485,14.03740063947292,188.652732215137,112.54687993600687,40.48860924453126,175.82350730000326,268.0715689500652,0.0
